"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,845152103778329;0,533419013023376;0,499742925167084;0,49974293059126;0,532826912642431;0,475084663763909;0,50230179028133;-0,741217309696822;0,309113042865892
"todas";3;0,3;"sigmoid";0,710095137219809;0,520565569400787;0,525964021682739;0,525964010282776;0,532997928381178;0,871311078858249;0,661402864487697;0,0155072519233359;-0,0312395650883317
"todas_tab1";3;0;"sigmoid";0,732664513158921;0,502570688724518;0,537018001079559;0,537017994858612;0,536239782016349;0,952104499274311;0,68607286037999;-0,316742834540718;1,62160970267906
"todas_tab1";3;0,3;"sigmoid";0,692205380474081;0,511996567249298;0,533676087856293;0,533676092544987;0,534124629080119;0,957910014513788;0,685833044683062;-0,201414622443109;1,69573253216931
"lasso";3;0;"sigmoid";0,870386463020638;0,530419886112213;0,493830323219299;0,493830334190231;0,537576687116564;0,339138848572811;0,415900326312667;-2,4195439235958;0,373792633724858
"lasso";3;0,3;"sigmoid";0,708838281043085;0,518851757049561;0,529305934906006;0,529305912596401;0,535181872391175;0,86840832123851;0,662239439217856;0,0213450147952697;-0,0378393936977545
"lasso_tab1";3;0;"sigmoid";0,800899813965844;0,51413881778717;0,530591249465942;0,530591259640103;0,534049166431195;0,914368650217707;0,674277559757403;-0,497923401947947;2,09378901954023
"lasso_tab1";3;0,3;"sigmoid";0,697348877611381;0,508997440338135;0,534190237522125;0,534190231362468;0,535387177352207;0,933236574746009;0,68042328042328;-0,380679202452187;2,33695199102387
"stepwise";3;0;"sigmoid";0,659539855353936;0,621679544448853;0,622622132301331;0,622622107969152;0,634970707525913;0,681664247701984;0,657489500699953;-4,47349068715927;0,487958224693641
"stepwise";3;0,3;"sigmoid";0,693899389526838;0,523136258125305;0,537018001079559;0,537017994858612;0,539025821596244;0,888727624576681;0,671050228310502;-0,811667168989056;0,1482548478385
"stepwise_tab1";3;0;"sigmoid";0,692255888867807;0,509854316711426;0,53007709980011;0,530077120822622;0,533277638540796;0,926463473633285;0,676917638741605;-0,212293699710491;1,0951989925241
"stepwise_tab1";3;0,3;"sigmoid";0,691855338882358;0,505569815635681;0,532390773296356;0,532390745501285;0,533155080213904;0,964683115626512;0,686757361804718;-0,180403287982152;1,26080575581197
"torneio";3;0;"sigmoid";0,69410178918765;0,535989701747894;0,544730067253113;0,544730077120823;0,55225988700565;0,756652152878568;0,63849765258216;-1,17479762921078;0,496369589032326
"torneio";3;0,3;"sigmoid";0,695744337919132;0,527849197387695;0,536760926246643;0,536760925449871;0,538328030083888;0,900338655055636;0,673787110789283;-0,679971851891493;1,0353156293379
"torneio_tab1";3;0;"sigmoid";0,69514413456071;0,513281941413879;0,534447312355042;0,534447300771208;0,53599550056243;0,922109337203677;0,677929930642006;-0,274054142293948;1,08073206613236
"torneio_tab1";3;0,3;"sigmoid";0,694335484657925;0,508569002151489;0,532904863357544;0,532904884318766;0,533297815663292;0,968553459119497;0,687854320563477;-0,180977069337742;1,76609965715729
"todas";3;0;"sigmoid";0,913167567056984;0,529134511947632;0,488174796104431;0,488174807197943;0,531353135313531;0,311562651185293;0,392802683745044;0,304635792211557;-0,0841868986195472
"todas";3;0,3;"sigmoid";0,71034009217603;0,523564696311951;0,529820024967194;0,529820051413882;0,536258379037172;0,851475568456701;0,658066928397831;0,0172876794213949;0,101888936702695
"todas_tab1";3;0;"sigmoid";0,705126366272071;0,506426751613617;0,53316193819046;0,533161953727506;0,532965589703178;0,981615868408321;0,690840994211781;-0,172607204659787;4,3194991527374
"todas_tab1";3;0,3;"sigmoid";0,691880308233374;0,505998313426971;0,535989701747894;0,53598971722365;0,535870755750274;0,946782776971456;0,684385382059801;-0,240111165842624;1,61798876101453
"lasso";3;0;"sigmoid";0,815752746666612;0,52742075920105;0,49203085899353;0,492030848329049;0,546006066734075;0,261248185776488;0,353403141361257;-5,38108477830414;0,246289957812717
"lasso";3;0,3;"sigmoid";0,702737141390999;0,53213369846344;0,535475552082062;0,53547557840617;0,538123167155425;0,887760038703435;0,670074858499178;0,021157352252235;0,435731156161534
"lasso_tab1";3;0;"sigmoid";0,755671985412931;0,506426751613617;0,531876623630524;0,531876606683805;0,533423913043478;0,949685534591195;0,683139029058639;-0,287889948237703;3,24786408737864
"lasso_tab1";3;0,3;"sigmoid";0,691200388795612;0,513281941413879;0,535732626914978;0,53573264781491;0,536729524345623;0,9225931301403;0,67864768683274;-0,319067651217225;0,92401883476084
"stepwise";3;0;"sigmoid";0,653835497110852;0,622107982635498;0,619280219078064;0,619280205655527;0,620180475799836;0,731494920174166;0,671254162042175;-3,27361081916548;0,536314027212645
"stepwise";3;0,3;"sigmoid";0,695819426624818;0,523136258125305;0,534447312355042;0,534447300771208;0,536219581211092;0,916787614900823;0,676664881271202;-0,35779979079159;0,594924422216095
"stepwise_tab1";3;0;"sigmoid";0,693056632007609;0,505998313426971;0,525964021682739;0,525964010282776;0,533095874146631;0,868892114175133;0,660779985283297;-0,239966479313391;0,634377339275184
"stepwise_tab1";3;0,3;"sigmoid";0,691769173948195;0,505569815635681;0,532647788524628;0,532647814910026;0,534497090606816;0,933236574746009;0,679704016913319;-0,220798139911785;1,03493283730071
"torneio";3;0;"sigmoid";0,657641152428477;0,613538980484009;0,619794368743896;0,619794344473008;0,620987654320988;0,730043541364296;0,671114076050701;-0,550124168776916;0,481458160847858
"torneio";3;0,3;"sigmoid";0,697695417146756;0,527849197387695;0,541902303695679;0,541902313624679;0,541752124230882;0,894533139816159;0,674817518248175;0,0391963975264064;-0,0255567966638152
"torneio_tab1";3;0;"sigmoid";0,6973303080218;0,517137944698334;0,534704387187958;0,534704370179949;0,536412581467838;0,915820029027576;0,676554681915654;-0,266684150852878;1,16449742510697
"torneio_tab1";3;0,3;"sigmoid";0,691570451449612;0,511996567249298;0,532647788524628;0,532647814910026;0,535080304311074;0,918722786647315;0,676282051282051;-0,223670704495898;1,12430064697306
"todas";3;0;"sigmoid";0,773777186809285;0,519708633422852;0,52699226140976;0,526992287917738;0,532605573111175;0,896952104499274;0,668348954578226;-0,269359400148903;1,41267779338319
"todas";3;0,3;"sigmoid";0,692458067026114;0,497429311275482;0,531362473964691;0,531362467866324;0,531362467866324;1;0,693973476582172;-0,000875557318527974;NA
"todas_tab1";3;0;"sigmoid";0,696912911005682;0,505998313426971;0,534447312355042;0,534447300771208;0,533525405971713;0,985486211901306;0,692268479184367;-0,164986887622153;5,16411893500219
"todas_tab1";3;0,3;"sigmoid";0,692484048798029;0,497429311275482;0,531362473964691;0,531362467866324;0,531362467866324;1;0,693973476582172;-0,000875557318527974;NA
"lasso";3;0;"sigmoid";0,78700468209225;0,51799488067627;0,523907482624054;0,523907455012854;0,531739002066726;0,871311078858249;0,66043270993766;0,222825584513369;-1,44065562558556
"lasso";3;0,3;"sigmoid";0,690276450945357;0,53170520067215;0,545244216918945;0,545244215938303;0,546884833228446;0,840832123850992;0,662726406101049;0,133266559410473;0,106883302285199
"lasso_tab1";3;0;"sigmoid";0,711107059953145;0,51413881778717;0,534447312355042;0,534447300771208;0,535535813436979;0,933236574746009;0,680543305697654;-0,316310894077923;1,19324701327064
"lasso_tab1";3;0,3;"sigmoid";0,692432284048713;0,497429311275482;0,531362473964691;0,531362467866324;0,531362467866324;1;0,693973476582172;-0,000875557318527974;NA
"stepwise";3;0;"sigmoid";0,65610428447895;0,588688969612122;0,61645245552063;0,616452442159383;0,6022767698328;0,819061441702951;0,694136941369414;-1,25297169985574;0,588345634784612
"stepwise";3;0,3;"sigmoid";0,692413395597267;0,497429311275482;0,531362473964691;0,531362467866324;0,531362467866324;1;0,693973476582172;-0,000875557318527974;NA
"stepwise_tab1";3;0;"sigmoid";0,692224074390676;0,508569002151489;0,527506411075592;0,527506426735219;0,531139515909709;0,944847605224964;0,680013927576602;-0,195387971676246;0,883182221417204
"stepwise_tab1";3;0,3;"sigmoid";0,69251684839131;0,497429311275482;0,531362473964691;0,531362467866324;0,531362467866324;1;0,693973476582172;-0,000875557318527974;NA
"torneio";3;0;"sigmoid";0,659676892316127;0,622964859008789;0,628277659416199;0,62827763496144;0,647365923113431;0,659893565553943;0,653569717297556;-0,0192166176957848;0,173392902103095
"torneio";3;0,3;"sigmoid";0,697118680703916;0,526135385036469;0,542673528194427;0,5426735218509;0,542654028436019;0,886308659893566;0,673158184824545;0,0447370354256188;0,00639208031546151
"torneio_tab1";3;0;"sigmoid";0,698398481359212;0,511996567249298;0,536503851413727;0,536503856041131;0,536065573770492;0,949201741654572;0,685175484546883;-0,223847198051344;1,06853216412558
"torneio_tab1";3;0,3;"sigmoid";0,692397941537872;0,497429311275482;0,531362473964691;0,531362467866324;0,531362467866324;1;0,693973476582172;-0,000875557318527974;NA
